headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
"As the War in Gaza Drags on, Palestinians in the West Bank Have ‘Reached Rock Bottom’",2024-06-11 08:55:04+00:00,,Bethlehem (West Bank); Hebron (West Bank); West Bank,Israel-Gaza War (2023- ); Palestinians; vis-video,,https://www.nytimes.com/2024/06/11/video/palestinians-west-bank-war.html,"Since the Hamas-led attacks on Oct. 7, Israel has tightened its grip on the occupied West Bank. Two Palestinians describe how they have been impacted — and their worries for the future.",456
"A Gaza Cease-Fire Plan, and Justice Alito Secretly Recorded",2024-06-11 10:00:07+00:00,,Gaza Strip; Israel,International Relations; Palestinians; Israel-Gaza War (2023- ); Homosexuality and Bisexuality,Food and Drug Administration; Hamas; United Nations,https://www.nytimes.com/2024/06/11/podcasts/ceasefire-un-justice-alito.html,"Plus, a dispatch from the U.S.-Mexico border.",130
4 Israeli Soldiers Are Killed in Rafah in Apparent Ambush,2024-06-11 10:42:56+00:00,,Rafah (Gaza Strip),War and Armed Conflicts; Israel-Gaza War (2023- ),Hamas,https://www.nytimes.com/2024/06/11/world/middleeast/israel-soldiers-killed-hamas-rafah.html,Israel said the soldiers were killed when Hamas militants detonated explosives in a three-story building. Some wounded soldiers were in critical condition.,358
"Fate of Gaza Cease-Fire Proposal Is ‘on Hamas,’ Blinken Says",2024-06-11 13:52:10+00:00,"Blinken, Antony J",,Israel-Gaza War (2023- ); International Relations,,https://www.nytimes.com/video/world/middleeast/100000009515055/blinken-gaza-ceasefire-resolution-hamas.html,Secretary of State Antony J. Blinken said the world was waiting for Hamas to respond to a U.S.-backed cease-fire plan endorsed by the U.N. Security Council. Neither Israel nor Hamas has formally embraced it.,0
Gazans React to U.N. Cease-Fire Resolution,2024-06-11 14:17:30+00:00,,Khan Younis (Gaza Strip); Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Defense and Military Forces; Terrorism,Security Council (UN); Hamas,https://www.nytimes.com/video/world/middleeast/100000009515022/gaza-reaction-security-council-ceasefire.html,"Displaced Palestinians in Khan Younis, Gaza, welcomed the cease-fire proposal hoping that it would lead to the end of the war.",0
Here’s a Look at the U.N.-Backed Plan to Stop the War in Gaza.,2024-06-11 16:24:03+00:00,"Netanyahu, Benjamin; Sinwar, Yehya",Gaza Strip; Israel,Israel-Gaza War (2023- ); International Relations; Peace Process,Hamas; Security Council (UN); United Nations,https://www.nytimes.com/2024/06/11/world/middleeast/israel-gaza-cease-fire-plan.html,"The Security Council can’t force anyone to adopt the plan, but its passage of a resolution backing it increases pressure on both sides to make a deal.",908
Officials Condemn Protest Outside Exhibit Memorializing Oct. 7 Victims,2024-06-11 21:34:42+00:00,"Braun, Scooter (1981- )","Financial District (Manhattan, NY); Israel","Demonstrations, Protests and Riots; Palestinians; Terrorism; Festivals; Israel-Gaza War (2023- )",Hamas; Hybe Co Ltd,https://www.nytimes.com/2024/06/11/arts/israel-gaza-protest-nova-exhibit.html,Anti-Israel demonstrators gathered outside the exhibition in New York that honors people at a music festival in Israel who were killed in the Hamas attack.,509
The Most Courageous Thing That Joe Biden Can Do,2024-06-11 23:00:03+00:00,"Biden, Joseph R Jr; Trump, Donald J; Harris, Kamala D",China; Gaza Strip; Israel; United States; Ukraine; Russia; Iran,Israel-Gaza War (2023- ); Defense and Military Forces; Polls and Public Opinion; United States Politics and Government; United States International Relations; Presidential Election of 2024; Russian Invasion of Ukraine (2022),Hamas,https://www.nytimes.com/2024/06/11/opinion/biden-gaza-ukraine.html,"Israel, Ukraine and American democracy are on the line.",924
Hamas and Israel Face Pressure to Embrace Cease-Fire Adopted by U.N.,2024-06-11 23:00:10+00:00,"Blinken, Antony J; Netanyahu, Benjamin; Sinwar, Yehya; Biden, Joseph R Jr",Gaza Strip; Israel; Jordan,Palestinians; Israel-Gaza War (2023- ); Civilian Casualties; Peace Process; International Relations; Refugees and Displaced Persons; Terrorism; Humanitarian Aid; Kidnapping and Hostages,Hamas; Security Council (UN); State Department; Wall Street Journal,https://www.nytimes.com/2024/06/11/world/middleeast/israel-hamas-ceasefire-plan.html,"Despite positive statements and international urging, neither of the warring parties accepted a U.S.-backed plan to halt the war in Gaza, let displaced Palestinians go home and free hostages.",1218
Senior Hezbollah Commander Is Killed in Israeli Strike,2024-06-12 01:49:34+00:00,"Al-Tawil, Wissam Hassan; Netanyahu, Benjamin",Gaza Strip; Israel; Lebanon,Israel-Gaza War (2023- ); Palestinians,Hezbollah; Hamas,https://www.nytimes.com/2024/06/11/world/middleeast/israel-hezbollah-taleb-abdallah-killed.html,"The commander was among the highest-ranking Hezbollah fighters in Lebanon to have been killed in the eight-month-long conflict, a Lebanese official said.",536
