values,values0,values1,values2,values3,Sum,PosScore,NegScore,NeuScore,Sociability_dict,Sociability_dir,Morality_dict,Morality_dir,Ability_dict,Ability_dir,Agency_dict,Agency_dir,health_dict,health_dir,Status_dict,Status_dir,work_dict,work_dir_dummy,Politics_dict,Politics_dir,Religion_dict,Religion_dir,beliefsother_dict,beliefsother_dir_dummy,inhabitant_dict,country_dict,feeling_dict,relative_dict,clothing_dict,ordinariness_dict,ordinariness_dir,bodpart_dict,bodprop_dict,skin_dict,bodcov_dict,beauty_dict,beauty_dir,insults_dict,stem_dict,humanities_dict,art_dict,socialgroups_dict,Lacksknowledge_dict,fortune_dict
encouraging,encouraging,encouraging,encourage,encourage,1,0.31,0.06,0.63,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
encourage,encourage,encourage,encourage,encourage,1,0.19,0,0.81,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
enraptured,enraptured,enraptured,enrapture,enrapture,1,0.25,0.5,0.25,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
enrapture,enrapture,enrapture,enrapture,enrapture,1,0.12,0,0.88,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
lean,lean,lean,lean,lean,1,0.21,0.12,0.67,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0
leaning,leaning,leaning,lean,lean,1,0.38,0,0.62,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0
worry,worry,worry,worry,worry,1,0.28,0.19,0.53,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
worrying,worrying,worrying,worry,worry,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
arouse,arouse,arouse,arouse,arouse,1,0.44,0.06,0.5,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
boot,boot,boot,boot,boot,1,0.12,0.25,0.63,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
