headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
"A World Leader on Ukraine, the U.S. Is Now Isolated Over Gaza",2023-12-22 20:50:21+00:00,"Biden, Joseph R Jr; Blinken, Antony J; Thomas-Greenfield, Linda",Israel; Gaza Strip; Russia; Ukraine,Israel-Gaza War (2023- ); Defense and Military Forces; Palestinians; Civilian Casualties; Humanitarian Aid; Terrorism; United States International Relations; Russian Invasion of Ukraine (2022),Hamas; Security Council (UN),https://www.nytimes.com/2023/12/22/us/politics/biden-israel-gaza-ukraine.html,"The United States finds itself in a defensive crouch and at odds with even staunch allies like France, Canada, Australia and Japan.",1325
The Day Hamas Came,2023-12-22 22:01:05+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Terrorism; Civilian Casualties; Kidnapping and Hostages; Kibbutz Movement; Defense and Military Forces; vis-design,Hamas,https://www.nytimes.com/interactive/2023/12/22/world/europe/beeri-massacre.html,No Israeli town suffered more bloodshed than Be’eri in the Hamas attacks on Oct. 7.,0
The Supreme Court Won’t Fast-Track a Decision on Trump’s Immunity,2023-12-22 22:32:16+00:00,,,,,https://www.nytimes.com/2023/12/22/briefing/supreme-court-trump-case-un-resolution.html,"Also, Wisconsin was ordered to redraw its legislative maps. Here's the latest at the end of Friday.",1194
U.N. Passes Resolution on Gaza Aid but Does Not Call for ‘Suspension of Hostilities’,2023-12-23 01:51:11+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Defense and Military Forces; Humanitarian Aid; Palestinians; Civilian Casualties; Terrorism; Kidnapping and Hostages; Peace Process; International Relations; United States International Relations,Hamas; Security Council (UN),https://www.nytimes.com/2023/12/22/world/middleeast/israel-hamas-un-resolution.html,"After a week of heated negotiations, the U.N. Security Council approved a measure that called on Israel and Hamas to pause the fighting to allow for the delivery of more humanitarian aid.",1347
Putin Quietly Signals He Is Open to a Cease-Fire in Ukraine,2023-12-23 10:03:55+00:00,"Putin, Vladimir V; Zelensky, Volodymyr",Russia; Ukraine,Russian Invasion of Ukraine (2022); Peace Process; Defense and Military Forces; International Relations; United States International Relations,,https://www.nytimes.com/2023/12/23/world/europe/putin-russia-ukraine-war-cease-fire.html,"Despite its bravado in public, the Kremlin has indicated its interest in striking a deal to halt the war — so long as it could still declare victory.",2601
Houthi Militia in Yemen Presents a Special Challenge for U.S.,2023-12-23 10:04:44+00:00,,Yemen; Red Sea; Iran; Saudi Arabia; Gaza Strip; Israel,Defense and Military Forces; Ships and Shipping; United States Defense and Military Forces; Drones (Pilotless Planes); Israel-Gaza War (2023- ); Fringe Groups and Movements; Palestinians,Houthis; Islamic Revolutionary Guards Corps; Hamas,https://www.nytimes.com/2023/12/23/us/politics/gaza-houthi-yemen.html,"In the past month alone, the Iranian-backed group has launched more than 100 attacks against commercial vessels in the Red Sea.",783
The Best Movie About Israel and Gaza Now Came Out 18 Years Ago,2023-12-23 12:00:15+00:00,"Spielberg, Steven",Israel; Gaza Strip,Israel-Gaza War (2023- ); Jews and Judaism; Palestinians; Movies,,https://www.nytimes.com/2023/12/23/opinion/israel-gaza-munich.html,Steven Spielberg’s “Munich” was considered by many to be a flop in 2005. But its examination of the moral toll of vengeance couldn’t feel more relevant.,1410
‘God Is Under the Rubble in Gaza’: Bethlehem’s Subdued Christmas,2023-12-23 13:12:29+00:00,,Bethlehem (West Bank); Israel; Gaza Strip,Christmas; Christians and Christianity; Israel-Gaza War (2023- ); Defense and Military Forces; Palestinians,Roman Catholic Church,https://www.nytimes.com/2023/12/23/world/middleeast/israel-gaza-bethlehem-christmas.html,"The war in Gaza has prompted the city, traditionally seen as the birthplace of Jesus, to tone down its Christmas celebrations.",1182
"Without a Truce, U.N. Resolution May Do Little for Gaza, Aid Groups Say",2023-12-23 20:54:34+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Defense and Military Forces; Humanitarian Aid; Palestinians; Civilian Casualties; Refugees and Displaced Persons; Terrorism; International Relations; United States International Relations,Security Council (UN); Hamas,https://www.nytimes.com/2023/12/23/world/middleeast/israel-gaza-aid-resolution.html,"The Security Council resolution, watered down to avoid a U.S. veto, directs urgent action to increase aid, but does not call for a cease-fire that would make it safe to distribute the aid.",1415
"Two Wars, 50 Elections: The Economy Faces Rising Geopolitical Risks",2023-12-24 08:01:51+00:00,,Europe; Red Sea; Middle East; Israel; Russia; Ukraine,"United States Economy; Economic Conditions and Trends; Presidential Election of 2024; International Relations; Israel-Gaza War (2023- ); Russian Invasion of Ukraine (2022); Prices (Fares, Fees and Rates); Oil (Petroleum) and Gasoline; International Trade and World Market; Supply Chain; Freight (Cargo)",Houthis,https://www.nytimes.com/2023/12/24/business/economy/global-economic-risks-red-sea.html,Next year could see increasing volatility as persistent military conflicts and economic uncertainty influence voting in national elections across the globe.,1175
