Name,Affiliation,Followers,Date,Likes,Retweets,Replies,Views
PatTheSocialist,Republican Party,71800,"November 02, 2023 09:50 PM",1973,93,440,54019
TristanSnell,Democratic Party,571900,"August 28, 2024 06:56 PM",22055,1200,9550,331792
TomFitton,Republican Party,2700000,"June 09, 2024 09:45 PM",3386,101,1129,62557
TomFitton,Republican Party,2700000,"October 07, 2023 03:18 PM",3177,248,1023,88112
RonFilipkowski,Democratic Party,1000000,"August 20, 2024 04:34 PM",34866,4802,18715,10733427
RonFilipkowski,Democratic Party,1000000,"October 23, 2023 04:31 PM",3056,306,597,552234
anthonyzenkus,Democratic Party,88800,"October 31, 2023 06:52 PM",5419,289,2199,101954
anthonyzenkus,Democratic Party,88800,"August 28, 2024 10:50 AM",1016,52,741,30287
benshapiro,Republican Party,7000000,"August 22, 2024 05:29 PM",1259,107,147,245695
benshapiro,Republican Party,7000000,"August 22, 2024 12:37 AM",5622,3780,1157,1097497
benshapiro,Republican Party,7000000,"April 25, 2024 07:09 PM",24177,4531,3540,3813012
benshapiro,Republican Party,7000000,"October 16, 2023 12:36 PM",16712,1560,3228,1985328
benshapiro,Republican Party,7000000,"October 16, 2023 09:06 AM",1203,104,99,96913
benshapiro,Republican Party,7000000,"May 09, 2024 11:26 AM",1570,370,190,129644
benshapiro,Republican Party,7000000,"January 12, 2024 02:23 AM",15428,2503,2828,1113950
benshapiro,Republican Party,7000000,"April 08, 2024 08:27 PM",10326,5459,2665,2992359
benshapiro,Republican Party,7000000,"August 19, 2024 12:50 PM",11720,884,2028,490193
ComicDaveSmith,Republican Party,570400,"June 28, 2024 09:05 PM",6540,664,738,328267
ComicDaveSmith,Republican Party,570400,"January 27, 2024 11:34 PM",4907,645,483,623367
ComicDaveSmith,Republican Party,570400,"October 10, 2023 07:20 PM",9284,609,1395,595725
ComicDaveSmith,Republican Party,570400,"June 12, 2024 03:53 PM",1166,224,90,88314
ComicDaveSmith,Republican Party,570400,"July 10, 2024 06:45 PM",2285,88,227,177861
RonFilipkowski,Democratic Party,1000000,"December 21, 2023 09:39 PM",4799,2130,762,526498
RonFilipkowski,Democratic Party,1000000,"March 19, 2024 11:20 PM",1106,79,315,54148
RonFilipkowski,Democratic Party,1000000,"October 14, 2023 02:06 AM",2005,132,228,121793
RonFilipkowski,Democratic Party,1000000,"October 18, 2023 02:41 PM",5266,155,1039,383783
RonFilipkowski,Democratic Party,1000000,"October 18, 2023 02:19 PM",1402,117,712,96305
RonFilipkowski,Democratic Party,1000000,"October 12, 2023 05:52 PM",1236,46,226,44511
RonFilipkowski,Democratic Party,1000000,"September 05, 2024 10:20 PM",5784,704,1435,411687
KyleKulinski,Democratic Party,462300,"August 08, 2024 02:03 AM",3159,146,555,180631
funder,Democratic Party,1100000,"April 07, 2024 02:11 PM",4181,5,1968,44641
mmpadellan,Democratic Party,1300000,"April 04, 2024 09:17 PM",8496,5150,2079,307279
krystalball,Democratic Party,587700,"June 19, 2024 05:25 PM",1266,135,480,145547
krystalball,Democratic Party,587700,"January 08, 2024 06:17 PM",2145,128,717,167628
jimmy_dore,Democratic Party,628500,"November 12, 2023 04:11 AM",4281,300,1647,285714
TheRickWilson,Democratic Party,1600000,"October 18, 2023 12:57 PM",3046,265,658,167444
davidsirota,Democratic Party,336700,"October 13, 2023 05:12 PM",1061,24,567,78633
TuckerCarlson,Republican Party,14100000,"April 09, 2024 08:46 PM",83854,10882,29830,19330710
PatTheSocialist,Republican Party,71800,"July 27, 2024 05:42 AM",1945,40,572,29112
TristanSnell,Democratic Party,571900,"September 11, 2024 02:01 AM",6663,137,3114,78963
TristanSnell,Democratic Party,571900,"June 27, 2024 11:36 PM",1923,58,650,36648
natsechobbyist,Democratic Party,477600,"October 10, 2023 11:39 PM",2340,39,540,154415
natsechobbyist,Democratic Party,477600,"November 04, 2023 09:02 PM",4235,747,683,401663
benshapiro,Republican Party,7000000,"August 21, 2024 12:49 AM",3384,186,418,256009
benshapiro,Republican Party,7000000,"August 20, 2024 11:41 PM",14118,1983,2052,1732459
benshapiro,Republican Party,7000000,"October 11, 2023 02:52 AM",1064,102,234,157603
benshapiro,Republican Party,7000000,"August 13, 2024 01:36 PM",1966,117,226,296047
benshapiro,Republican Party,7000000,"August 13, 2024 01:14 PM",1064,102,234,157603
briebriejoy,Democratic Party,418700,"December 07, 2023 10:10 PM",1886,216,812,129980
briebriejoy,Democratic Party,418700,"June 17, 2024 04:01 PM",1267,101,482,44884
JordanChariton,Democratic Party,128400,"August 08, 2024 12:25 AM",1387,2,135,34257
kylegriffin1,Democratic Party,1400000,"July 27, 2024 02:00 PM",4567,76,1088,181490
kylegriffin1,Democratic Party,1400000,"August 22, 2024 03:45 PM",3419,53,781,173122
kylegriffin1,Democratic Party,1400000,"August 23, 2024 03:10 AM",1720,34,331,85329
kylegriffin1,Democratic Party,1400000,"August 21, 2024 11:55 PM",1895,26,312,80210
SarcasmStardust,Republican Party,127900,"November 18, 2023 02:26 AM",7886,375,3581,523848
JoJoFromJerz,Democratic Party,1000000,"November 24, 2023 02:45 PM",2026,90,165,66902
JoJoFromJerz,Democratic Party,1000000,"October 09, 2023 10:26 PM",5120,727,1100,356681
JoJoFromJerz,Democratic Party,1000000,"May 26, 2024 10:59 PM",1447,345,302,65718
JoJoFromJerz,Democratic Party,1000000,"November 25, 2023 09:12 PM",5528,312,434,155735
DineshDSouza,Republican Party,4300000,"October 01, 2024 09:13 PM",7512,402,2169,194501
donaldjtrumpjr,Republican Party,12400000,"August 16, 2024 04:46 PM",1139,198,541,111322
donaldjtrumpjr,Republican Party,12400000,"October 09, 2023 03:06 PM",17482,2635,3636,978057
donaldjtrumpjr,Republican Party,12400000,"October 07, 2023 04:19 PM",19049,2625,6342,2890410
donaldjtrumpjr,Republican Party,12400000,"February 03, 2024 04:13 PM",16759,1977,4846,427855
donaldjtrumpjr,Republican Party,12400000,"November 09, 2023 03:18 PM",36166,1646,13457,1259341
donaldjtrumpjr,Republican Party,12400000,"November 30, 2023 04:14 PM",1799,260,413,123779
spiritofho,Democratic Party,146800,"November 24, 2023 03:51 PM",1929,96,1432,41645
spiritofho,Democratic Party,146800,"October 29, 2023 05:18 AM",1398,61,963,35049
spiritofho,Democratic Party,146800,"May 08, 2024 02:52 PM",1617,80,811,39041
MollyJongFast,Democratic Party,1000000,"September 24, 2024 07:05 PM",1590,52,536,179093
MollyJongFast,Democratic Party,1000000,"September 14, 2024 12:28 AM",2667,80,339,98644
MollyJongFast,Democratic Party,1000000,"September 21, 2024 06:44 PM",11387,169,2657,288055
MollyJongFast,Democratic Party,1000000,"September 21, 2024 04:26 PM",2323,149,560,77636
aaronjmate,Democratic Party,437700,"January 24, 2024 05:35 AM",4469,113,2000,127914
aaronjmate,Democratic Party,437700,"December 19, 2023 03:50 AM",1779,54,865,57992
aaronjmate,Democratic Party,437700,"January 10, 2024 05:47 AM",5222,150,2155,100776
aaronjmate,Democratic Party,437700,"July 09, 2024 03:22 PM",4518,280,2082,114229
