Name,Affiliation,Followers,Date,Likes,Retweets,Replies,Views
aaronjmate,Democratic Party,437700,"February 05, 2023 01:23 PM",4796,196,1835,883565
aaronjmate,Democratic Party,437700,"March 10, 2023 10:46 PM",1145,46,572,62002
aaronjmate,Democratic Party,437700,"November 04, 2022 05:00 PM",1442,23,271,27317
aaronjmate,Democratic Party,437700,"August 21, 2023 03:14 PM",2525,78,1023,192402
aaronjmate,Democratic Party,437700,"July 21, 2023 02:20 PM",1442,23,271,27317
benshapiro,Republican Party,7000000,"January 30, 2023 02:26 PM",4669,219,535,835916
RealSpikeCohen,Republican Party,222100,"October 26, 2022 01:08 AM",2482,60,560,149981
kylegriffin1,Democratic Party,1400000,"December 13, 2022 02:00 PM",2347,28,393,71921
itsJeffTiedrich,Democratic Party,1100000,"October 16, 2022 09:01 PM",47821,5915,6761,2406208
SteveSchmidtSES,Democratic Party,1500000,"October 11, 2022 02:25 PM",1238,92,254,101793
benshapiro,Republican Party,7000000,"September 01, 2024 12:20 PM",2273,977,325,240186
benshapiro,Republican Party,7000000,"August 06, 2024 06:10 PM",31283,2113,5362,1271302
TheRickWilson,Democratic Party,1600000,"July 31, 2024 01:21 PM",3333,90,317,77287
TheRickWilson,Democratic Party,1600000,"September 14, 2024 07:47 PM",2308,29,218,48501
funder,Democratic Party,1100000,"January 06, 2024 12:59 PM",10974,5349,4273,403524
mmpadellan,Democratic Party,1300000,"March 31, 2024 07:04 PM",3901,1216,2149,248025
mmpadellan,Democratic Party,1300000,"November 17, 2023 01:14 AM",5008,406,1192,123302
mmpadellan,Democratic Party,1300000,"March 14, 2024 03:55 PM",29184,2881,7337,730899
charliekirk11,Republican Party,3600000,"May 06, 2024 04:58 PM",1733,425,361,236487
charliekirk11,Republican Party,3600000,"December 02, 2023 12:06 AM",2543,279,614,529645
charliekirk11,Republican Party,3600000,"October 19, 2023 03:01 PM",27338,1184,10495,2560230
kylegriffin1,Democratic Party,1400000,"March 01, 2024 12:25 AM",2740,97,327,158065
kylegriffin1,Democratic Party,1400000,"July 25, 2024 11:30 PM",4118,65,995,202784
TuckerCarlson,Republican Party,14100000,"June 07, 2024 05:03 PM",54664,4104,18329,11631844
SteveSchmidtSES,Democratic Party,1500000,"October 24, 2023 06:08 PM",4259,314,1586,228247
gtconway3d,Republican Party,2300000,"November 11, 2023 07:34 AM",5825,752,2058,1651043
TristanSnell,Democratic Party,571900,"July 28, 2024 12:57 AM",104229,9418,31308,3834124
TristanSnell,Democratic Party,571900,"August 21, 2024 03:07 AM",63389,3049,18393,956647
TristanSnell,Democratic Party,571900,"July 28, 2024 09:35 PM",24601,2686,8352,679719
BillOReilly,Republican Party,3300000,"September 11, 2024 01:59 AM",2652,53,448,116326
brad_polumbo,Republican Party,65800,"October 09, 2023 12:30 AM",1340,79,119,54722
RonFilipkowski,Democratic Party,1000000,"July 25, 2024 04:56 PM",2369,252,702,58467
RonFilipkowski,Democratic Party,1000000,"July 28, 2024 03:38 PM",1523,103,363,66540
RonFilipkowski,Democratic Party,1000000,"July 26, 2024 06:08 PM",1442,1015,477,159490
RonFilipkowski,Democratic Party,1000000,"August 20, 2024 04:34 PM",34702,4781,18719,10771975
RonFilipkowski,Democratic Party,1000000,"October 23, 2023 04:31 PM",3040,306,599,552259
RonFilipkowski,Democratic Party,1000000,"July 28, 2024 03:44 PM",1049,136,344,99366
KyleKulinski,Democratic Party,462300,"November 16, 2023 04:01 AM",1788,131,558,78249
KyleKulinski,Democratic Party,462300,"July 24, 2024 07:40 PM",1368,60,405,55284
KyleKulinski,Democratic Party,462300,"July 09, 2024 11:46 PM",1066,47,273,53198
krystalball,Democratic Party,587700,"November 12, 2023 02:26 PM",1747,181,666,147445
jimmy_dore,Democratic Party,628500,"July 26, 2024 05:56 PM",8504,503,2964,779606
jimmy_dore,Democratic Party,628500,"May 30, 2024 04:31 AM",1056,85,296,31438
gtconway3d,Republican Party,2300000,"November 02, 2023 01:06 AM",1813,53,520,299526
charliekirk11,Republican Party,3600000,"October 07, 2023 03:56 PM",7128,1640,3149,751952
charliekirk11,Republican Party,3600000,"November 17, 2023 02:11 AM",3966,566,1302,198577
PatTheSocialist,Republican Party,71800,"December 26, 2023 09:36 PM",1635,34,798,26581
TristanSnell,Democratic Party,571900,"August 28, 2024 06:56 PM",21941,1194,9529,332214
TristanSnell,Democratic Party,571900,"July 12, 2024 05:21 PM",25408,1348,8034,390848
anthonyzenkus,Democratic Party,88800,"August 28, 2024 10:50 AM",1008,52,733,30333
benshapiro,Republican Party,7000000,"July 23, 2024 12:29 PM",21490,8702,2973,2226858
briebriejoy,Democratic Party,418700,"June 13, 2024 10:07 PM",1821,477,944,158310
LeeCamp,Democratic Party,226700,"February 23, 2024 10:08 PM",1210,54,911,139647
JordanChariton,Democratic Party,128400,"April 24, 2024 05:38 PM",1387,2,135,34257
JordanChariton,Democratic Party,128400,"April 24, 2024 05:26 PM",10957,39,2984,546677
kylegriffin1,Democratic Party,1400000,"May 08, 2024 10:25 PM",3955,123,739,192258
