Date,Trends
13-02-2023,"['Rihanna', ""Valentine's Day"", 'Ohio', 'Eagles', 'Chiefs']"
14-02-2023,"[""Valentine's Day"", 'Valentines Day', 'Happy Love', '#AgustD', 'Bayern']"
15-02-2023,"[""Valentine's Day"", 'Ohio', 'THE SHOW', 'Arsenal', 'East Palestine']"
16-02-2023,"['Barca', 'Rashford', 'namjoon', 'El Paso', 'Xavi']"
17-02-2023,"['hobi', '#APOMeetandGive2023', '#GenshinImpact', 'Fox News', '#jhopeINTHEBOX']"
18-02-2023,"['Arsenal', 'Chelsea', 'Twitter Blue', '#WWEChamber', 'Christian Atsu']"
19-02-2023,"['#WWEChamber', 'Carter', '#FarmhouseShopeexMileApo', 'Jimmy Carter', 'Rashford']"
20-02-2023,"['Ukraine', 'Russia', 'Kyiv', 'Putin', 'McCarthy']"
21-02-2023,"['Liverpool', 'Putin', '#WeAreWithBiu', 'STAND TOGETHER WITH BUILD', '#Jimin_FACE']"
22-02-2023,"['President Trump', 'Trump Water', 'Ash Wednesday', 'Yuta', '#GlobalArtistChart']"
23-02-2023,"['Barcelona', 'Barca', 'Pete', 'Paul Paul', '#MUFC']"
24-02-2023,"['ariana', 'Kaveh', 'Karol G', '#JHOPExLouisVuitton', 'Mnet']"
25-02-2023,"['Lagos', 'Nigeria', 'INEC', '#FERRAGAMOxJENO', '#NigeriaElections2023']"
26-02-2023,"['hobi', 'Jake Paul', 'Manchester United', 'jhope', 'Chelsea']"
27-02-2023,"['Lagos', 'Pokémon', 'Messi', 'FIFA', '#PokemonDay']"
28-02-2023,"['jungkook', '#ApoxDiorAW2023', '#JISOOxDiorAW23', 'JISOO THE FACE OF DIOR', 'Chicago']"
01-03-2023,"['Nigeria', '#BBWomenInMusic', 'Welcome to Twitter', 'Chicago', 'New Month']"
02-03-2023,"['JHOPE', '#BBWomenInMusic', 'Billboard', 'Madrid', 'Tiffany']"
03-03-2023,"['#on_the_street', 'jungkook', 'hobi', 'CPAC', 'hoseok']"
04-03-2023,"['Arsenal', 'CPAC', '#UFC285', 'Ja Morant', 'Bournemouth']"
05-03-2023,"['Liverpool', 'JISOO', '#UFC285', 'Jones', 'Manchester United']"
06-03-2023,"['haechan', 'Chan', '#TheLastOfUs', 'Tucker', 'Capitol']"
07-03-2023,"['Tucker', 'Capitol', '#JENNIExCHANELFW23', 'Chelsea', 'Elon']"
08-03-2023,"['#InternationalWomensDay', 'Tucker', '#IWD2023', '#HappyBirthdaySUGA', 'Happy International']"
09-03-2023,"['Tucker', '#InternationalWomensDay', '#Jimin_FACE', '#HappyBirthdaySUGA', '#Jimin_Hardware_Ver']"
10-03-2023,"['Tucker', 'Mario', '#InternationalWomensDay', 'Silicon Valley Bank', 'Capitol']"
11-03-2023,"['#CUTIEPIECONCERT', 'Venezuela', 'USDC', 'Liverpool', 'Colombia']"
12-03-2023,"['#Oscars', 'wonwoo', 'Ke Huy Quan', 'Michelle Yeoh', 'Brendan Fraser']"
13-03-2023,"['#Oscars', 'Oscar', 'Michelle Yeoh', 'Everything Everywhere', 'Ke Huy Quan']"
14-03-2023,"['jungkook', 'Haaland', 'White Day', 'namjoon', '#SmokeSprite']"
15-03-2023,"['Jets', 'Credit Suisse', 'Aaron Rodgers', 'Drake', '#WorldBaseballClassic']"
16-03-2023,"['#SetMeFreePt2IsComing', 'taylor', 'Arsenal', 'Sporting', 'Virginia']"
17-03-2023,"['#SetMeFree_Pt2', '#Jimin_FACE', 'PARK JIMIN', 'St. Patrick', 'taylor']"
18-03-2023,"['Trump', 'taylor', '#ひろがるホロライブDAY1', 'Venezuela', '#UFC286']"
19-03-2023,"['#ひろがるホロライブDAY2', 'Venezuela', 'Madrid', 'Barca', '#SaudiArabianGP']"
20-03-2023,"['Japan', 'Spring', '#WorldBaseballClassic', '#WBC2023', 'Iraq']"
21-03-2023,"['Trump', 'Japan', '#WorldBaseballClassic', 'Spring', '#WBC2023']"
22-03-2023,"['Japan', 'Ohtani', 'renjun', 'Ramadan Mubarak', 'Trout']"
23-03-2023,"['TikTok', 'jungkook', '$ARB', 'Bayern', 'mnet']"
24-03-2023,"['Like Crazy', '#Jimin_FACE', 'PARK JIMIN', 'Selena', '#OurNeverEndingSKZ']"
25-03-2023,"['Chabelo', 'Waco', 'Mississippi', 'yeonjun', 'John Wick']"
26-03-2023,"['#TheGreatestLalisaDay', 'SAY LALISA DAY', '#락스타_팝스타_라리사_생일날', '#ฟรีนเบคFanBoomD2', 'Texas']"
27-03-2023,"['For You', 'jungkook', 'Nashville', 'Trans', 'Guns']"
28-03-2023,"['For You', 'Nashville', 'Trans', '#JUNGKOOKxCALVINKLEIN', '#MileApoFlyToMumbai']"
29-03-2023,"['Friends', 'Jung', 'Warriors', 'Mouse', '#AEWDynamite']"
30-03-2023,"['Justice', 'Grand Jury', 'Manhattan', '#DiorFall23xMileApo', 'Bragg']"
31-03-2023,"['jisoo', '#TransDayOfVisibility', 'April Fools', 'Bragg', 'Clinton']"
01-04-2023,"['Trump', '#AprilFoolsDay', 'April Fools', 'America', '#Wrestlemania']"
02-04-2023,"['#WrestleMania', 'Night 1', 'Clark', '#AgustD', 'Potter']"
03-04-2023,"['#WrestleMania', 'CONGRATULATIONS JIMIN', '#LikeCrazyNo1Hot100', 'Reese', 'Clark']"
