Name,Affiliation,Followers,Likes,Retweets,Replies,Views
benshapiro,Republican Party,7000000,31283,2113,5362,1271302
benshapiro,Republican Party,7000000,998,138,195,90391
benshapiro,Republican Party,7000000,16611,1409,2737,590480
benshapiro,Republican Party,7000000,26571,1394,2929,849791
benshapiro,Republican Party,7000000,32881,8130,6590,3980142
benshapiro,Republican Party,7000000,41498,4654,10261,3034132
benshapiro,Republican Party,7000000,33563,14296,7459,4222129
benshapiro,Republican Party,7000000,4455,749,575,395082
benshapiro,Republican Party,7000000,2781,273,353,291018
IngrahamAngle,Republican Party,4900000,574,85,144,44501
RealSpikeCohen,Republican Party,222100,6409,476,2854,905573
RealSpikeCohen,Republican Party,222100,922,84,199,71881
RealSpikeCohen,Republican Party,222100,3425,181,1132,328980
RealSpikeCohen,Republican Party,222100,243,8,12,11227
briebriejoy,Democratic Party,418700,217,18,70,19486
briebriejoy,Democratic Party,418700,206,23,52,15113
briebriejoy,Democratic Party,418700,347,46,187,25078
briebriejoy,Democratic Party,418700,1841,481,953,158200
briebriejoy,Democratic Party,418700,838,35,272,36374
ComicDaveSmith,Republican Party,570400,7861,530,1755,632686
ComicDaveSmith,Republican Party,570400,3947,320,294,481992
ComicDaveSmith,Republican Party,570400,9217,873,1314,929628
ComicDaveSmith,Republican Party,570400,829,145,84,108046
TheRickWilson,Democratic Party,1600000,267,8,62,31333
TheRickWilson,Democratic Party,1600000,777,50,154,77271
TheRickWilson,Democratic Party,1600000,1633,47,304,95932
FreemansMind96,Republican Party,"4,682",483,18,36,6504
FreemansMind96,Republican Party,"4,682",249,9,4,3928
KyleKulinski,Democratic Party,462300,1799,131,560,78208
KyleKulinski,Democratic Party,462300,1072,49,274,52965
seanhannity,Republican Party,6700000,660,40,128,34295
funder,Democratic Party,1100000,338,59,165,8719
funder,Democratic Party,1100000,1082,84,429,30082
fred_guttenberg,Democratic Party,524700,263,22,48,18922
fred_guttenberg,Democratic Party,524700,1115,92,239,64483
fred_guttenberg,Democratic Party,524700,570,30,203,25344
fred_guttenberg,Democratic Party,524700,494,19,172,19843
fred_guttenberg,Democratic Party,524700,220,9,35,11985
LeeCamp,Other,226700,440,13,259,12840
LeeCamp,Other,226700,806,33,433,21111
LeeCamp,Other,226700,1220,54,922,139645
LeeCamp,Other,226700,739,47,425,29643
LeeCamp,Other,226700,330,13,205,14567
