Subject_ID,Affiliation,Followers,Tweet_ID,Affiliation_Contrast,After_Dates,After_Corpus,After_Likes,After_Retweets,After_Replies,After_Views,prop_Israeli,prop_Warm,prop_Competence,prop_Incompetence,prop_Cold,prop_Jewish,prop_Muslim,prop_Arabic,prop_IDF,prop_Hamas,count_Israeli,count_Warm,count_Competence,count_Incompetence,count_Cold,count_Jewish,count_Muslim,count_Arabic,count_IDF,count_Hamas,words_Israeli,words_Warm,words_Competence,words_Incompetence,words_Cold,words_Jewish,words_Muslim,words_Arabic,words_IDF,words_Hamas,total_words
39,Democratic Party,1000000.0,131,0.5,"July 25, 2024 04:56 PM",The Republican Party wants to give Benjamin Netanyahu a blank check to do whatever he wants in Gaza with no oversight or questions asked. The fact that most Democrats disagree with that does not make them anti-Semitic. A large percentage of Jewish Democrats disagree with that.,2369,702,252,58467,0.0425531914893617,0.0,0.0,0.0425531914893617,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,2,0,0,2,0,1,0,0,0,0,"['benjamin', 'netanyahu']",[],[],"['disagree', 'disagree']",[],['jewish'],[],[],[],[],47
52,Democratic Party,437700.0,173,0.5,"July 09, 2024 03:22 PM",The Israeli outlet Haaretz has confirmed what independent journalists @AliAbunimah @davidsheen @MaxBlumenthal reported from the start: Israel invoked the Hannibal Directive and slaughtered its own people on Oct. 7th to prevent them from being taken captive.   Former IDF,4518,2082,280,114229,0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,1,0,1,1,0,0,0,0,1,0,['israeli'],[],['independent'],['independent'],[],[],[],[],['idf'],[],38
77,Democratic Party,477600.0,480,0.5,"October 10, 2023 11:39 PM",The Israeli government put out this warning as did a friend of mine in Israel who is a mental health professional. This is very good advice. …,2340,540,39,154415,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0,0,0,0,0,0,0,['israeli'],['good'],"['professional', 'good']",[],[],[],[],[],[],[],26
41,Republican Party,7000000.0,367,-0.5,"January 12, 2024 02:23 AM","The Houthi slogan: ""Allahu Akbar, Death to America, Death to Israel, A Curse Upon the Jews, Victory to Islam.""  Biden cut off arms sales for Saudi against them and removed the Houthis terrorist designation in 2021, then started negotiating with Iran.  All that worked out great.",15428,2828,2503,1113950,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,[],[],[],[],[],['jews'],['islam'],[],[],[],46
78,Republican Party,570400.0,147,-0.5,"October 07, 2023 03:29 PM","The Hamas attack on Israel was horrific, criminal and so stupid. It guarantees further suffering for their own people. The problem in America is that most people have a simplistic view of the situation that is completely removed from reality. They assume normal relations and then out of nowhere these savages just attack. The reality is that the treatment of the people in Gaza is also horrific, criminal and stupid, and also guarantees further incidents like this. We should root for peace and recognize that all innocent life is precious. And we should all recognize that DC should stay the hell out of it.",9217,1314,873,929628,0.0,0.0,0.0,0.019230769230769232,0.009615384615384616,0.0,0.0,0.0,0.0,0.009615384615384616,0,0,0,2,1,0,0,0,0,1,[],[],[],"['stupid', 'stupid']",['normal'],[],[],[],[],['hamas'],104
20,Democratic Party,418700.0,997,0.5,"June 13, 2024 10:07 PM","The Ceasefire Shell Game (w/ @samhusseini). Independent journalist Sam Husseini completely dismantles the state department narrative around the ceasefire negotiations, who’s at fault, & what the new UN report tells us about Israel’s use of rape, torture, & the Hannibal Directive. ",1821,944,477,158310,0.0,0.0,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,[],[],['independent'],['independent'],[],[],[],[],[],[],41
41,Republican Party,7000000.0,476,-0.5,"April 08, 2024 08:27 PM",The Biden administration is now effectively preparing to make aid to Israel contingent on. unspecified changes to Israeli policy. Which means that Israel can do little or nothing to appease the White House. Hamas is now in control of the Biden administration.,10326,2665,5459,2992359,0.023809523809523808,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,1,0,0,1,0,0,0,0,0,1,['israeli'],[],[],['contingent'],[],[],[],[],[],['hamas'],42
23,Republican Party,2600000.0,605,-0.5,"November 05, 2023 05:09 PM",Terrorist sympathizers plus well meaning morons calling for a “ceasefire” like to absorb Hamas propaganda I guess EXCEPT when leaders of Hamas directly say they will repeat October 7 for as long as it takes until Israel is wiped off the map…,1221,270,190,60184,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0,1,0,0,0,0,0,0,0,2,[],['well'],[],[],[],[],[],[],[],"['hamas', 'hamas']",42
30,Republican Party,201800000.0,104,-0.5,"October 28, 2023 11:12 AM",Starlink will support connectivity to internationally recognized aid organizations in Gaza.   ComStar,162231,64463,11245,15048573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],12
30,Republican Party,201800000.0,562,-0.5,"July 23, 2024 09:29 PM",Starlink is now active in a Gaza hospital with the support of @UAEmediaoffice and @Israel,261387,28151,18156,85680598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],15
